                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     45,               0.069448,               0.046758,               0.028114,                      0,                0.17251,                0.25455,                0.15518,               0.031441,                0.30778,                0.27273,                0.20608,               0.066214,               0.085732,               0.088767,               0.021599,                      0,               0.057495,              0.0024953,              0.0024953
                     46,                0.06998,               0.047098,               0.024711,                      0,                0.28406,                0.27273,                0.18644,               0.067542,                0.34677,                0.30887,                0.21071,               0.067677,               0.080862,               0.092513,                0.02116,                      0,               0.056505,              0.0025052,              0.0025052
                     47,               0.067604,                0.04807,               0.030373,                      0,                0.21698,                0.27273,                0.15181,               0.035132,                0.35481,                0.23636,                0.21081,               0.067185,               0.084886,               0.089277,               0.021599,                      0,               0.055513,              0.0025131,              0.0025131
                     48,               0.070218,               0.050292,               0.025737,                      0,                0.30867,                0.29091,                0.20088,               0.066352,                0.27879,                0.27273,                0.18394,               0.063975,               0.080205,               0.086068,               0.021347,                      0,               0.054519,               0.002519,               0.002519
                     49,               0.067549,               0.049528,                 0.0247,                      0,                0.27688,                0.34117,                0.20485,               0.051983,                0.37118,                0.24696,                0.22243,               0.064913,               0.081391,               0.088954,               0.021278,                      0,               0.053523,               0.002523,               0.002523
                     50,               0.068045,               0.049654,               0.027044,                      0,                0.28743,                0.34471,                 0.1859,               0.061275,                0.23921,                0.27273,                0.15911,               0.054293,                0.07928,                0.09156,               0.020878,                      0,               0.052525,               0.002525,               0.002525
                     51,               0.065856,               0.046344,               0.028613,                      0,                0.28441,                0.32727,                0.19568,               0.057695,                0.31861,                    0.2,                 0.1951,               0.060103,               0.080224,               0.090587,               0.021042,                      0,               0.051525,               0.002525,               0.002525
                     52,               0.063214,               0.045544,               0.023552,                      0,                0.23362,                    0.4,                0.19357,               0.073836,                0.30271,                0.29091,                0.19291,                0.06321,                0.07865,               0.088744,               0.020382,                      0,               0.050523,               0.002523,               0.002523
                     53,               0.064821,               0.046145,               0.023003,                      0,                0.24231,                    0.4,                0.19155,                0.07401,                0.31977,                0.30909,                0.19584,               0.064483,               0.078478,               0.087535,               0.019875,                      0,               0.049519,              0.0025191,              0.0025191
                     54,               0.063066,               0.044563,               0.023765,                      0,                0.21799,                0.32946,                0.18234,               0.057268,                0.32279,                0.23636,                0.21482,               0.065744,               0.080486,               0.089737,                0.01965,                      0,               0.048513,              0.0025132,              0.0025132
                     55,                0.06441,               0.044347,               0.026974,                      0,                0.32762,                 0.3013,                0.19636,               0.071251,                0.32056,                0.29091,                0.21574,               0.073477,               0.079073,               0.087649,               0.019451,                      0,               0.047505,              0.0025053,              0.0025053
                     56,               0.064006,               0.044293,               0.025685,                      0,                0.30244,                0.32727,                0.20477,               0.064501,                0.30098,                0.27273,                0.21105,               0.069124,               0.079786,               0.088149,               0.019524,                      0,               0.046495,              0.0024954,              0.0024954
                     57,               0.062776,               0.047701,               0.029251,                      0,                 0.3204,                0.29091,                 0.1927,               0.064994,                0.38374,                0.32727,                0.25046,               0.073607,               0.077544,               0.088436,               0.019527,                      0,               0.045483,              0.0024835,              0.0024835
                     58,               0.063787,               0.046475,               0.025081,                      0,                0.31877,                0.32727,                0.20796,               0.058453,                0.29833,                0.30909,                0.20898,               0.070241,               0.077233,               0.089657,               0.019455,                      0,                0.04447,              0.0024696,              0.0024696
                     59,                 0.0595,                0.04495,               0.024979,                      0,                0.31529,                0.32654,                0.21164,               0.074576,                0.29969,                0.36364,                0.20981,               0.070363,               0.076337,               0.091972,               0.019398,                      0,               0.043454,              0.0024538,              0.0024538
                     60,               0.060584,               0.043211,               0.024183,                      0,                0.27714,                0.34545,                0.18484,               0.052632,                0.28548,                0.34545,                0.20182,               0.063447,               0.078805,               0.090593,               0.018997,                      0,               0.042436,               0.002436,               0.002436
                     61,               0.062003,               0.043852,               0.024407,                      0,                0.32878,                0.38182,                0.25663,               0.089821,                0.30662,                0.36364,                0.22537,               0.081057,               0.075386,               0.086581,               0.018776,                      0,               0.041416,              0.0024162,              0.0024162
                     62,                0.05776,               0.048961,               0.026648,                      0,                0.27387,                0.36364,                0.21694,               0.066994,                0.38997,                0.32547,                0.29133,               0.093673,               0.077003,               0.080394,               0.018887,                      0,               0.040394,              0.0023944,              0.0023944
                     63,               0.059982,               0.045677,               0.027016,                      0,                0.28936,                0.36364,                0.22479,               0.092842,                0.33661,                0.38182,                0.27278,               0.096231,               0.073201,               0.079113,               0.018967,                      0,               0.039371,              0.0023707,              0.0023707
                     64,               0.055978,               0.043131,               0.022883,                      0,                0.25329,                0.41818,                0.22803,               0.075845,                0.41809,                0.30909,                0.27403,               0.096296,                0.07358,               0.075722,               0.018478,                      0,               0.038345,               0.002345,               0.002345
                     65,               0.056726,               0.045894,               0.025835,                      0,                0.36503,                0.32727,                0.26095,                0.10471,                0.43785,                0.30909,                 0.2951,                0.10601,               0.074819,               0.076818,               0.018211,                      0,               0.037317,              0.0023172,              0.0023172
                     66,                0.05819,               0.043744,               0.026649,                      0,                0.22876,                0.45455,                 0.2165,               0.074994,                0.37685,                0.32727,                0.29113,               0.095148,               0.074411,               0.077803,               0.018517,                      0,               0.036288,              0.0022876,              0.0022876
                     67,               0.056228,                0.04257,               0.022402,                      0,                0.36118,                0.32727,                0.25892,                0.10088,                 0.4265,                0.30909,                0.28227,                0.10017,               0.072771,               0.077225,               0.018517,                      0,               0.035256,              0.0022559,              0.0022559
                     68,               0.059186,               0.041708,               0.024238,                      0,                0.27556,                0.41498,                 0.2016,                0.07475,                0.29343,                0.43044,                0.27732,               0.096545,               0.073064,                0.08024,               0.018463,                      0,               0.034222,              0.0022222,              0.0022222
                     69,               0.054305,               0.040945,               0.021635,                      0,                0.33578,                0.36364,                0.24642,                0.10271,                0.39467,                0.34545,                0.29298,                0.10635,               0.072266,               0.080211,               0.018219,                      0,               0.033187,              0.0021866,              0.0021866
                     70,               0.054586,               0.042571,               0.023046,                      0,                0.25015,                0.41818,                0.19425,               0.068786,                0.25015,                0.41818,                0.27626,               0.087607,               0.075365,               0.083833,               0.017998,                      0,               0.032149,               0.002149,               0.002149
                     71,               0.055754,               0.043961,                0.02498,                      0,                0.34215,                0.43636,                0.27357,                0.11741,                0.40303,                0.43636,                0.32185,                0.11003,                0.07105,               0.081233,               0.017956,                      0,               0.031109,              0.0021094,              0.0021094
