                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.4373,                 2.5804,                 1.2512,                 1.2959,                0.36776,                0.36364,                0.23444,                0.10645,                0.32799,                0.32727,                0.19448,                0.06204,                 2.1458,                  4.523,                 2.2871,                 1.8646,               0.001307,               0.001307,               0.001307
                     38,                 1.4532,                 2.6869,                 1.4806,                 1.2165,                0.34477,                0.44012,                0.29077,                0.12196,                0.31925,                0.40935,                 0.2482,                0.08003,                 2.0764,                 4.4595,                 2.0823,                 1.7736,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.291,                 2.4178,                 1.1377,                 1.2464,                0.40058,                0.47273,                0.38463,                0.16004,                0.47974,                0.43636,                0.37044,                0.12667,                 2.0716,                 4.1345,                 1.9739,                 1.8364,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.335,                 2.3508,                 1.2096,                 1.2657,                0.41212,                0.47273,                0.34734,                0.16319,                0.42798,                0.43636,                0.33837,                0.12251,                 2.0465,                 3.9767,                 2.1389,                 1.7863,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2791,                 2.2713,                 1.1004,                 1.2486,                0.48993,                0.43636,                 0.3438,                0.15462,                0.52081,                 0.4545,                0.33051,                0.11458,                 2.0271,                 4.1456,                 2.1087,                 1.7685,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.259,                 2.4933,                 1.0857,                 1.2251,                0.44936,                0.43636,                 0.3144,                0.15799,                0.42291,                0.41311,                0.27435,                0.10888,                 2.0765,                 4.1746,                 2.1446,                 1.8927,               0.001208,               0.001208,               0.001208
                     43,                 1.2714,                 2.3101,                 1.1161,                 1.2251,                0.40143,                0.47273,                0.31256,                0.14411,                0.38042,                0.43636,                0.27493,                0.10381,                  2.016,                 3.9621,                 2.0787,                 1.8168,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3832,                 2.5402,                 1.1236,                 1.2217,                0.59327,                    0.4,                0.36024,                0.19097,                0.46779,                0.38182,                0.30535,                0.12573,                 1.9156,                 4.2857,                 2.0352,                 1.6428,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3147,                 2.2555,                 1.1224,                 1.2291,                0.58442,                0.49091,                0.39802,                 0.2042,                0.56448,                0.45455,                0.35178,                0.14751,                 1.9127,                 4.4573,                 2.0014,                  1.681,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.2059,                  2.248,                 1.0213,                 1.2165,                0.56378,                0.47273,                0.42137,                0.21502,                0.49232,                0.45455,                 0.3481,                0.15733,                 1.9254,                 4.5734,                 1.9606,                 1.7578,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2988,                 2.3929,                0.97196,                 1.2223,                0.61374,                0.47273,                0.41735,                0.20883,                0.59014,                0.45455,                0.42231,                 0.1555,                 1.9933,                 4.5189,                 1.8503,                 1.8419,               0.001109,               0.001109,               0.001109
                     48,                 1.2816,                 2.2405,                0.99558,                 1.1846,                0.56408,                0.41818,                0.43114,                0.19765,                0.48868,                0.36494,                0.33005,                0.13887,                 2.1044,                 5.0942,                 1.7268,                 1.8446,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2854,                 2.1544,                 1.0545,                 1.1692,                 0.4141,                0.56544,                0.42149,                 0.1923,                0.52115,                0.36364,                0.32262,                0.13404,                 2.1356,                 5.1136,                  1.677,                  1.928,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.2854,                 2.1053,                 1.0081,                 1.2048,                 0.4986,                0.52436,                0.44755,                0.21158,                 0.5601,                0.41674,                0.37146,                0.14064,                  1.942,                 4.2284,                 1.6875,                 1.7523,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.185,                 2.3343,                 0.9736,                 1.2171,                0.61627,                0.47273,                0.43977,                0.20759,                0.52661,                0.41818,                0.33356,                0.13394,                 1.9006,                 4.0847,                  1.699,                 1.7123,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.1989,                 2.2978,                 1.0129,                  1.187,                0.50766,                0.50909,                 0.4678,                0.22359,                0.58019,                0.41818,                 0.4144,                0.15398,                 1.8723,                 4.0824,                 1.6436,                 1.6732,                0.00101,                0.00101,                0.00101
